STEVAL-MKI243A (ASM330LHHXG1)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-54.29 	 -197.518 	 1002.66 	-3 	 -11 	 79 	0.79625 	 -1.02375 	 -0.455 	29.2 	
-56.974 	 -197.518 	 1001.44 	-3 	 -11 	 79 	0.805 	 -1.12 	 -0.53375 	29.2 	
-56.303 	 -198.372 	 1000.1 	-3 	 -11 	 78 	0.7525 	 -1.155 	 -0.525 	29.2 	
-56.059 	 -196.237 	 1000.52 	-3 	 -11 	 79 	0.86625 	 -1.19 	 -0.56875 	29.2 	
-54.778 	 -195.383 	 1001.5 	-3 	 -11 	 79 	0.69125 	 -1.19 	 -0.70875 	29.2 	
-55.083 	 -194.59 	 997.96 	-3 	 -11 	 79 	0.79625 	 -1.30375 	 -0.56 	29.2 	
-54.473 	 -194.224 	 999.363 	-3 	 -10 	 79 	0.76125 	 -1.19875 	 -0.49 	29.2 	
-52.521 	 -194.651 	 1000.89 	-2 	 -10 	 79 	0.77 	 -1.18125 	 -0.63 	29.2 	
-54.29 	 -192.943 	 1002.41 	-3 	 -10 	 79 	0.79625 	 -1.14625 	 -0.7525 	29.2 	
-53.375 	 -192.272 	 1004.61 	-2 	 -10 	 79 	0.7525 	 -1.1025 	 -0.72625 	29.2 	
-52.948 	 -191.296 	 1004.3 	-2 	 -10 	 79 	0.77 	 -1.09375 	 -0.735 	29.2 	
-49.898 	 -190.137 	 1003.88 	-2 	 -10 	 79 	0.79625 	 -1.32125 	 -0.735 	29.2 	
-50.874 	 -188.856 	 1001.01 	-2 	 -10 	 79 	0.7 	 -1.18125 	 -0.665 	29.2 	
-48.251 	 -189.344 	 1001.5 	-2 	 -10 	 79 	0.595 	 -1.19 	 -0.63875 	29.2 	
-46.055 	 -186.355 	 1002.96 	-2 	 -10 	 79 	0.81375 	 -1.2425 	 -0.735 	29.2 	
-47.519 	 -186.66 	 1003.51 	-2 	 -10 	 79 	0.67375 	 -1.1725 	 -0.56 	29.2 	
-46.482 	 -186.538 	 1002.47 	-2 	 -10 	 79 	0.79625 	 -1.0675 	 -0.60375 	29.2 	
-45.872 	 -185.928 	 1004.18 	-2 	 -10 	 79 	0.74375 	 -1.12 	 -0.6475 	29.2 	
-42.944 	 -187.941 	 1006.38 	-2 	 -10 	 79 	0.69125 	 -1.155 	 -0.58625 	29.2 	
-43.371 	 -186.843 	 1004.55 	-2 	 -10 	 79 	0.805 	 -1.16375 	 -0.665 	29.2 	
-40.992 	 -186.904 	 1005.52 	-2 	 -10 	 79 	0.8225 	 -1.225 	 -0.56 	29.2 	
-42.09 	 -186.477 	 1002.17 	-2 	 -10 	 79 	0.8225 	 -1.21625 	 -0.55125 	29.2 	
-40.504 	 -187.758 	 1003.33 	-2 	 -10 	 79 	0.735 	 -1.19 	 -0.53375 	29.2 	
-39.162 	 -189.527 	 1005.34 	-2 	 -10 	 79 	0.74375 	 -1.12 	 -0.595 	29.2 	
-42.151 	 -188.673 	 1006.01 	-2 	 -10 	 79 	0.69125 	 -1.00625 	 -0.5775 	29.2 	
-40.992 	 -188.978 	 1004 	-2 	 -10 	 79 	0.805 	 -1.05875 	 -0.6475 	29.2 	
-41.419 	 -188.734 	 1004.37 	-2 	 -10 	 79 	0.67375 	 -1.1375 	 -0.65625 	29.2 	
-41.053 	 -192.394 	 1004.24 	-2 	 -10 	 79 	0.4375 	 -1.04125 	 -0.62125 	29.2 	
-43.615 	 -191.174 	 1002.23 	-2 	 -10 	 79 	0.5775 	 -1.155 	 -0.62125 	29.2 	
-41.175 	 -191.845 	 1003.39 	-2 	 -10 	 79 	0.63875 	 -1.09375 	 -0.65625 	29.2 	
-40.382 	 -192.638 	 1001.92 	-2 	 -10 	 79 	0.70875 	 -1.2775 	 -0.62125 	29.2 	
-43.005 	 -193.492 	 1002.23 	-2 	 -10 	 79 	0.76125 	 -1.23375 	 -0.6475 	29.2 	
-42.822 	 -193.309 	 1001.99 	-2 	 -10 	 79 	0.74375 	 -1.16375 	 -0.63875 	29.2 	
-42.395 	 -195.017 	 1002.6 	-2 	 -10 	 79 	0.5425 	 -1.1375 	 -0.60375 	29.2 	
-42.578 	 -192.821 	 1002.47 	-2 	 -10 	 79 	0.60375 	 -1.085 	 -0.6825 	29.2 	
-43.92 	 -194.59 	 1001.8 	-2 	 -10 	 79 	0.81375 	 -1.14625 	 -0.63875 	29.2 	
-44.408 	 -195.505 	 1001.8 	-2 	 -11 	 79 	0.805 	 -1.18125 	 -0.63 	29.2 	
-42.517 	 -194.651 	 1000.03 	-2 	 -11 	 79 	0.79625 	 -1.14625 	 -0.55125 	29.2 	
-45.201 	 -195.566 	 1000.89 	-2 	 -11 	 79 	0.86625 	 -1.19875 	 -0.5775 	29.2 	
-45.323 	 -194.834 	 1001.38 	-2 	 -10 	 79 	0.69125 	 -1.1725 	 -0.7525 	29.2 	
-44.469 	 -195.078 	 1002.6 	-2 	 -11 	 79 	0.6825 	 -1.09375 	 -0.60375 	29.2 	
-44.713 	 -194.651 	 1003.82 	-2 	 -10 	 79 	0.7 	 -1.18125 	 -0.62125 	29.2 	
-44.53 	 -196.115 	 1002.47 	-2 	 -11 	 79 	0.77875 	 -1.19875 	 -0.44625 	29.2 	
-46.116 	 -195.322 	 1001.38 	-2 	 -11 	 79 	0.7175 	 -1.19875 	 -0.5425 	29.2 	
-46.116 	 -194.956 	 1002.78 	-2 	 -10 	 79 	0.72625 	 -1.26875 	 -0.63875 	29.2 	
-44.53 	 -193.98 	 1001.38 	-2 	 -10 	 79 	0.77875 	 -1.19875 	 -0.6475 	29.2 	
-46.116 	 -192.76 	 1002.72 	-2 	 -10 	 79 	0.91 	 -1.07625 	 -0.67375 	29.2 	
-45.811 	 -193.614 	 1003.57 	-2 	 -10 	 79 	0.7525 	 -1.09375 	 -0.60375 	29.2 	
-46.36 	 -194.285 	 1003.27 	-2 	 -10 	 79 	0.805 	 -1.05875 	 -0.49875 	29.2 	
-47.214 	 -193.675 	 1001.5 	-2 	 -10 	 79 	0.79625 	 -1.225 	 -0.49875 	29.2 	
-47.824 	 -192.516 	 1003.39 	-2 	 -10 	 79 	0.83125 	 -1.1375 	 -0.595 	29.2 	
-48.495 	 -192.15 	 1001.25 	-2 	 -10 	 79 	0.90125 	 -1.14625 	 -0.525 	29.2 	
-47.336 	 -191.906 	 1004.24 	-2 	 -10 	 79 	0.74375 	 -1.1375 	 -0.49 	29.2 	
-47.214 	 -191.357 	 1002.9 	-2 	 -10 	 79 	0.69125 	 -1.19875 	 -0.5425 	29.3 	
-44.835 	 -192.15 	 1001.5 	-2 	 -10 	 79 	0.7875 	 -1.07625 	 -0.51625 	29.3 	
-47.58 	 -191.601 	 1001.99 	-2 	 -10 	 79 	0.74375 	 -1.1725 	 -0.55125 	29.3 	
-45.323 	 -191.662 	 1001.99 	-2 	 -10 	 79 	0.74375 	 -1.1725 	 -0.4725 	29.3 	
-44.225 	 -190.747 	 1002.84 	-2 	 -10 	 79 	0.6125 	 -1.2075 	 -0.5425 	29.3 	
-44.896 	 -189.588 	 1002.05 	-2 	 -10 	 79 	0.72625 	 -0.98 	 -0.525 	29.3 	
-44.896 	 -190.564 	 1002.96 	-2 	 -10 	 79 	0.8225 	 -1.07625 	 -0.56875 	29.3 	
